year,fossil fuel and industry emissions,land-use change emissions,cumsum,avg global temp,lower bound,upper bound
1850,0.054,0.687814,0.741814,-0.373,-0.591,-0.162
1851,0.054,0.691781,1.487595,-0.218,-0.429,-0.016
1852,0.057,0.696712,2.241307,-0.228,-0.434,-0.03
1853,0.059,0.7019015,3.0022085,-0.269,-0.472,-0.075
1854,0.069,0.704659,3.7758675,-0.248,-0.435,-0.072
1855,0.071,0.7067045,4.553572,-0.272,-0.455,-0.099
1856,0.076,0.710762,5.340334,-0.358,-0.541,-0.182
1857,0.077,0.717398,6.134732,-0.461,-0.636,-0.294
1858,0.078,0.7228975,6.9356295,-0.467,-0.644,-0.295
1859,0.083,0.725728,7.7443575,-0.284,-0.47,-0.106
1860,0.091,0.6964235,8.531781,-0.343,-0.531,-0.166
1861,0.095,0.687022,9.313803,-0.407,-0.613,-0.204
1862,0.097,0.682864,10.093667,-0.524,-0.737,-0.312
1863,0.104,0.6806675,10.8783345,-0.278,-0.499,-0.065
1864,0.112,0.6787235,11.669058,-0.494,-0.705,-0.293
1865,0.119,0.679261,12.467319,-0.279,-0.511,-0.062
1866,0.122,0.6757165,13.2650355,-0.251,-0.47,-0.043
1867,0.13,0.673892,14.0689275,-0.321,-0.535,-0.113
1868,0.135,0.6724925,14.87642,-0.238,-0.448,-0.038
1869,0.142,0.6727405,15.6911605,-0.262,-0.451,-0.082
1870,0.147,0.742173,16.5803335,-0.276,-0.447,-0.11
1871,0.156,0.771577,17.5079105,-0.335,-0.514,-0.157
1872,0.173,0.7914905,18.472401,-0.227,-0.397,-0.062
1873,0.184,0.8113445,19.4677455,-0.304,-0.468,-0.144
1874,0.174,0.8267165,20.468462,-0.368,-0.532,-0.209
1875,0.188,0.8417365,21.4981985,-0.395,-0.558,-0.238
1876,0.191,0.85414,22.5433385,-0.384,-0.543,-0.228
1877,0.194,0.864346,23.6016845,-0.075,-0.235,0.081
1878,0.196,0.873174,24.6708585,0.035,-0.121,0.192
1879,0.21,0.878828,25.7596865,-0.23,-0.38,-0.084
1880,0.236,0.8764685,26.872155,-0.227,-0.38,-0.076
1881,0.243,0.8904195,28.0055745,-0.2,-0.355,-0.048
1882,0.256,0.899815,29.1613895,-0.213,-0.363,-0.068
1883,0.272,0.911017,30.3444065,-0.296,-0.433,-0.16
1884,0.275,0.920028,31.5394345,-0.409,-0.545,-0.276
1885,0.277,0.9281675,32.744602,-0.389,-0.528,-0.254
1886,0.281,0.931939,33.957541,-0.367,-0.505,-0.236
1887,0.295,0.9359395,35.1884805,-0.418,-0.555,-0.289
1888,0.327,0.940356,36.4558365,-0.307,-0.442,-0.178
1889,0.327,0.946142,37.7289785,-0.171,-0.313,-0.038
1890,0.356,0.9787855,39.063764,-0.416,-0.557,-0.285
1891,0.372,1.0054295,40.4411935,-0.33,-0.476,-0.195
1892,0.374,1.0209355,41.836129,-0.455,-0.603,-0.318
1893,0.37,1.031906,43.238035,-0.473,-0.617,-0.337
1894,0.383,1.0438205,44.6648555,-0.41,-0.551,-0.272
1895,0.406,1.0544435,46.125299,-0.39,-0.531,-0.256
1896,0.419,1.0627185,47.6070175,-0.186,-0.327,-0.05
1897,0.44,1.0729945,49.120012,-0.206,-0.348,-0.071
1898,0.465,1.077679,50.662691,-0.412,-0.552,-0.277
1899,0.507,1.0812415,52.2509325,-0.289,-0.428,-0.154
1900,0.534,1.1190395,53.903972,-0.203,-0.345,-0.066
1901,0.552,1.1485325,55.6045045,-0.259,-0.404,-0.118
1902,0.566,1.16651,57.3370145,-0.402,-0.538,-0.27
1903,0.617,1.1830865,59.137101,-0.479,-0.617,-0.348
1904,0.624,1.1970615,60.9581625,-0.52,-0.657,-0.387
1905,0.663,1.2079355,62.829098,-0.377,-0.511,-0.247
1906,0.707,1.2152805,64.7513785,-0.283,-0.415,-0.152
1907,0.784,1.2260055,66.761384,-0.465,-0.596,-0.339
1908,0.75,1.228141,68.739525,-0.511,-0.64,-0.388
1909,0.785,1.2381835,70.7627085,-0.522,-0.649,-0.4
1910,0.819,1.2146625,72.796371,-0.49,-0.617,-0.368
1911,0.836,1.208042,74.840413,-0.544,-0.668,-0.424
1912,0.879,1.196944,76.916357,-0.437,-0.561,-0.32
1913,0.943,1.1903755,79.0497325,-0.424,-0.548,-0.305
1914,0.85,1.1701925,81.069925,-0.244,-0.373,-0.12
1915,0.838,1.159823,83.067748,-0.141,-0.284,-0.007
1916,0.901,1.151236,85.119984,-0.383,-0.518,-0.254
1917,0.955,1.1462675,87.2212515,-0.468,-0.61,-0.332
1918,0.936,1.14513,89.3023815,-0.333,-0.483,-0.187
